,index,pac_name,date_of_deposit,amount,contributor,notes,relevant_amounts,source_docs,address,city,state,zip,address_full,occupation,type,employer,in_kind_description,lat,lng,accuracy
94,94,Friends of Matt Caldwell,2/28/17,1000,"Cemex Materials, LLC","Pipe company. CEO is Mr. Thomas Burmeister BSBA, according to Bloomberg",,Bloomberg: https://bloom.bg/2xcDB8w,1501 Belvedere Road,West Palm Beach,FL,,"1501 Belvedere Road, West Palm Beach, FL ",Mining,Check,,,26.6914502,-80.0715232,
34,34,Friends of Matt Caldwell,1/31/17,1000,Charles Dauray,Lee County resident,,,Post Office Box 97,Estero,FL,33929,"Post Office Box 97, Estero, FL 33929",Non-profit dir,Check,,,26.4374499,-81.7875709,
41,41,Friends of Matt Caldwell,2/8/17,1000,"Citrus Creek Grove, LLC",South Miami ompany managed by Victor Brown and George A. Winslow,,Sunbiz: http://bit.ly/2xbZoNv,5901 SW 74th Street Ste 403,South Miami,FL,33143,"5901 SW 74th Street Ste 403, South Miami, FL 33143",Agriculture,Check,,,25.7026118,-80.28967,
70,70,Friends of Matt Caldwell,2/23/17,7500,"COLLIER ENTERPRISES MANAGEMENT, INC.",Collier family management company,,Company website: http://bit.ly/2xc2HUZ,"2550 Goodlette Rd North, Ste 100",Naples,FL,34103,"2550 Goodlette Rd North, Ste 100, Naples, FL 34103",Real Estate,Check,,,26.1487959,-81.7914062,
93,93,Friends of Matt Caldwell,2/28/17,500,Colodny Fass,Insurance and regulation law firm based in South Florida and Tallahassee,,Company LinkedIn: http://bit.ly/2xccWbX,1401 NW 136th Ave Ste 200,Sunrise,FL,33323,"1401 NW 136th Ave Ste 200, Sunrise, FL 33323",Governmental,Check,,,26.1403513,-80.3311678,
131,131,Friends of Matt Caldwell,3/6/17,2500,Committee of Florida Agents,PAC for independent insurance agents,,Org website: http://bit.ly/2xc6bXu,8489 Cabin Hill Road,Tallahassee,Fl,32311,"8489 Cabin Hill Road, Tallahassee, Fl 32311",Political Comm,Check,,,30.3912921,-84.1505442,
73,73,Friends of Matt Caldwell,2/23/17,2500,Conservative Coalition for Florida's,Rep. Dane Eagle's PAC,"$10,000 from US Sugar on 2/15/2017; RAI Service Company on 2/22/17; $2,500 from FRF Political Committee on 2/23/2017 -- FRF received $2,500 from Beall's PAC on 2/20/17 (a PAC run by Robert M Beall in Bradenton of Bealls Outlet Stores);  $5,000 from Impact on 2/23/17",Florida division of elections: http://bit.ly/2xcBv8A,4507 SE 16th Place,Cape Coral,FL,33904,"4507 SE 16th Place, Cape Coral, FL 33904",Political Comm,Check,,,26.568538,-81.9420941,
123,123,Friends of Matt Caldwell,3/6/17,5000,"904 Investments of Duval County,",Rep. Halsey Beshears is the manager of this group,,Sunbiz: http://bit.ly/2xc3LrO,Post Office Box 755,Monticello,FL,32345,"Post Office Box 755, Monticello, FL 32345",Investment C,Check,,,30.5583513,-83.870047,
159,159,Friends of Matt Caldwell,7/31/17,10000,Conservatives for a Better Tomorr,"PAC that lists Randall Woodruff as its chair. He works at Suncoast CPA Group, a Certified Public Accounting firm. ",,Florida division of elections: http://bit.ly/2xc5rBL; Company website: http://bit.ly/2xcI5vS,801 S. Broad Street,Brooksville,FL,34601,"801 S. Broad Street, Brooksville, FL 34601",Political Comm,Check,,,28.5477126,-82.3989706,
69,69,Friends of Matt Caldwell,2/23/17,1000,"CORA Health Services, Inc.",Physical therapy company,,Company website: http://bit.ly/2xbT09d,1110 Shawnee Road,Lima ,OH,45802,"1110 Shawnee Road, Lima , OH 45802",Healthcare,Check,,,40.724283,-84.152541,
91,91,Friends of Matt Caldwell,2/28/17,600,"Creative Environmental Solutions, I",Environmental engineering firm,,Company website: http://bit.ly/2xcjyab,700 Desoto Ave,Brooksville,FL,34601,"700 Desoto Ave, Brooksville, FL 34601",Enviromental,Check,,,28.5544987,-82.3980096,
111,111,Friends of Matt Caldwell,3/6/17,2500,"Crews Environmental, Inc.",Family owned and operated onsite wastewater company specializing in septic systems.,,Company website: http://bit.ly/2xctelc,Post Office Box 27,Fort Myers,FL,33902,"Post Office Box 27, Fort Myers, FL 33902",Spectic Servi,Check,,,26.5943296,-81.8584729,
112,112,Friends of Matt Caldwell,3/6/17,1500,"Crews Sanitation, Inc.","Owned by same people who own Crews Environmental, the septic tank contractors.",,Sunbiz: http://bit.ly/2xcJD9k; company website: http://bit.ly/2xctelc,Post Office Box 27,Fort Myers,FL,33902,"Post Office Box 27, Fort Myers, FL 33902",Spectic Servi,Check,,,26.5943296,-81.8584729,
130,130,Friends of Matt Caldwell,3/6/17,500,"Cynergy Consulting,LLC",,,,2606 Thomasville Road,Tallahassee,FL,32308,"2606 Thomasville Road, Tallahassee, FL 32308",Governmental,Check,,,30.4767278,-84.2625461,
100,100,Friends of Matt Caldwell,3/2/17,500,Daniel R. Harper Rev. Liv. Trust,,,,5571 Halifax Ave,Fort Myers,FL,33912,"5571 Halifax Ave, Fort Myers, FL 33912",Trust,Check,,,26.5314715,-81.8613921,
40,40,Friends of Matt Caldwell,2/8/17,1000,"Delisi, Inc.",,,,15598 Bent Creek Road,Wellington,FL,33414,"15598 Bent Creek Road, Wellington, FL 33414",Engineering,Check,,,26.6804058,-80.292918,
71,71,Friends of Matt Caldwell,2/23/17,5000,"Disney Worldwide Services, Inc.",,,,Post Office Box 10000,Lake Buena Vista,FL,,"Post Office Box 10000, Lake Buena Vista, FL ",Entertainment,Check,,,28.7806391,-81.3494183,
120,120,Friends of Matt Caldwell,3/6/17,2500,DNA Comprehensive Therapy Ser,,,,6360 Techster Blvd,Fort Myers,FL,33966,"6360 Techster Blvd, Fort Myers, FL 33966",Therapy Serv,Check,,,26.5489669,-81.8500915,
158,158,Friends of Matt Caldwell,7/31/17,10000,Friends of Jason Brodeur PC,Rep. Jason Brodeur's PAC,"$10,000 from GOPAC Election Fund on 06/26/2017, a GOP state and political training org",PAC website: http://bit.ly/2xcobkz,120 South Monroe Street,Tallahassee,FL,32301,"120 South Monroe Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4409781,-84.2810459,
88,88,Friends of Matt Caldwell,2/28/17,600,"Flatwoods Consulting Group, Inc.",,,,8306 Laurel Fair Circle Ste 120,Tampa,FL,33610,"8306 Laurel Fair Circle Ste 120, Tampa, FL 33610",Environmental,Check,,,27.9876811,-82.3553146,
127,127,Friends of Matt Caldwell,3/6/17,2500,Florida Association of Motorist Ser,,,,11287 South Dixie Highway,Miami,FL,33156,"11287 South Dixie Highway, Miami, FL 33156",Association,Check,,,25.6645753,-80.3237295,
137,137,Friends of Matt Caldwell,3/6/17,2500,Florida Association of Motorist Ser,,,,11287 South Dixie Highway,Miami,FL,33156,"11287 South Dixie Highway, Miami, FL 33156",Association,Check,,,25.6645753,-80.3237295,
156,156,Friends of Matt Caldwell,7/31/17,10000,Florida Chamber of Commerce Alli,,,,Post Office Box 11309,Tallahassee,FL,32302,"Post Office Box 11309, Tallahassee, FL 32302",Political Comm,Check,,,30.4763594,-84.2386338,
58,58,Friends of Matt Caldwell,2/16/17,1000,Florida Chamber of Commerce Alli,,,,Post Office Box 11309,Tallahassee,Fl,32302,"Post Office Box 11309, Tallahassee, Fl 32302",Political Comm,Check,,,30.442124,-84.320881,
79,79,Friends of Matt Caldwell,2/28/17,7500,Florida Design Drilling Corporation,,,,7733 Hooper Road,West Palm Beach,FL,,"7733 Hooper Road, West Palm Beach, FL ",Water Resour,Check,,,26.6821584,-80.1696384,
152,152,Friends of Matt Caldwell,6/29/17,2000,"Florida East Coast Industries, LLC",,,,"2855 LeJeune Road, Fourth Floor",Coral Gables,FL,3313,"2855 LeJeune Road, Fourth Floor, Coral Gables, FL 03313",Commercial R,Check,,,25.745775,-80.262182,
46,46,Friends of Matt Caldwell,2/16/17,5000,Florida Engineers Political Action C,,,,Post Office Box 750,Tallahassee,Fl,32302,"Post Office Box 750, Tallahassee, Fl 32302",Political Comm,Check,,,30.4763594,-84.2386338,
38,38,Friends of Matt Caldwell,2/8/17,2500,Florida Home Builders PAC,,,,2600 Centennial Place,Tallahassee,FL,32309,"2600 Centennial Place, Tallahassee, FL 32309",Political Comm,Check,,,30.4815652,-84.2309003,
145,145,Friends of Matt Caldwell,3/6/17,10000,Florida Jobs PAC,,,,Post Office Box 11309,Tallahassee,FL,32302,"Post Office Box 11309, Tallahassee, FL 32302",Political Comm,Check,,,30.4763594,-84.2386338,
139,139,Friends of Matt Caldwell,3/6/17,5000,Florida Jobs PAC,,,,Post Office Box 11309,Tallahassee,FL,32302,"Post Office Box 11309, Tallahassee, FL 32302",Political Comm,Check,,,30.4763594,-84.2386338,
78,78,Friends of Matt Caldwell,2/24/17,25000,Florida Jobs PAC,,,,Post Office Box 11309,Tallahassee,FL,32302,"Post Office Box 11309, Tallahassee, FL 32302",Political Comm,Check,,,30.4763594,-84.2386338,
144,144,Friends of Matt Caldwell,3/6/17,2500,FLORIDA JUSTICE PAC,,,,218 South Monroe Street,Tallahassee,FL,32301,"218 South Monroe Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4400328,-84.2810819,
55,55,Friends of Matt Caldwell,2/16/17,500,Florida Operators Association,,,,"101 N. Monroe Street, Ste 1090",Tallahassee,Fl,32301,"101 N. Monroe Street, Ste 1090, Tallahassee, Fl 32301",Political Comm,Check,,,30.4425479,-84.2802939,
54,54,Friends of Matt Caldwell,2/16/17,500,Florida Osteopathic Medical Assoc,,,,2544 Blairstone Pines Drive,Tallahassee,FL,32301,"2544 Blairstone Pines Drive, Tallahassee, FL 32301",Political Comm,Check,,,30.4278245,-84.25012,
153,153,Friends of Matt Caldwell,6/29/17,5000,Florida Phosphate Political Committ,,,,Post Office Box 1384,Mulberry,FL,33860,"Post Office Box 1384, Mulberry, FL 33860",Political Comm,Check,,,28.03,-81.9599999,
28,28,Friends of Matt Caldwell,1/23/17,7500,FLORIDA POLICE BENEVOLENT ASSOCIATION FPBA LAW AND ORDER PAC,cleaned based on address,,,300 East Brevard Stree,Tallahassee,FL,32301,"300 East Brevard Stree, Tallahassee, FL 32301",Political Comm,Check,,,30.449342,-84.2792625,
31,31,Friends of Matt Caldwell,1/27/17,5000,Florida Power and Light,,,,700 Universe Blvd,Juno Beach,FL,33408,"700 Universe Blvd, Juno Beach, FL 33408",Utility,Check,,,26.8595013,-80.0581897,
77,77,Friends of Matt Caldwell,2/24/17,5000,"Florida Professional Firefighters, In",,,,353 W. Madison Street,Tallahassee,FL,32301,"353 W. Madison Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4366002,-84.2873063,
155,155,Friends of Matt Caldwell,7/28/17,25000,Florida Prosperity Fund,Chaired by Ryan Tyson of Associated Industries,,Florida division of elections: http://bit.ly/2xcvtFd,Post Office Box 10085,Tallahassee,FL,32302,"Post Office Box 10085, Tallahassee, FL 32302",Political Comm,Check,,,30.442124,-84.320881,
147,147,Friends of Matt Caldwell,6/5/17,2000,Florida Prosperity Fund,Chaired by Ryan Tyson of Associated Industries,,Florida division of elections: http://bit.ly/2xcvtFd,Post Office Box 10085,Tallahassee,FL,3230,"Post Office Box 10085, Tallahassee, FL 03230",Political Comm,Check,,,30.442124,-84.320881,
36,36,Friends of Matt Caldwell,2/7/17,5000,Florida Prosperity Fund,Chaired by Ryan Tyson of Associated Industries,,Florida division of elections: http://bit.ly/2xcvtFd,Post Office Box 10085,Tallahassee,FL,32302,"Post Office Box 10085, Tallahassee, FL 32302",Political Comm,Check,,,30.442124,-84.320881,
148,148,Friends of Matt Caldwell,6/14/17,2000,Florida Standardbred Breeders &,,,,1800 SW 3rd Street,Pompano Beach,FL,3,"1800 SW 3rd Street, Pompano Beach, FL 00003",Association,Check,,,26.2282683,-80.1475939,
141,141,Friends of Matt Caldwell,3/6/17,1000,Florida Standardbred Breeders &,,,,1800 SW 3rd Street,Pompano Beach,FL,3,"1800 SW 3rd Street, Pompano Beach, FL 00003",Association,Check,,,26.2282683,-80.1475939,
154,154,Friends of Matt Caldwell,7/24/17,5000,Florida Surveying and Mapping Poli,,,,Post Office Box 14858,Tallahassee,FL,32317,"Post Office Box 14858, Tallahassee, FL 32317",Political Comm,Check,,,30.4763594,-84.2386338,
103,103,Friends of Matt Caldwell,3/2/17,10000,Floridians for a Stronger Democra,Chaired by Ryan Tyson of Associated Industries,,Florida division of elections: http://bit.ly/2xccb2u,Post Office Box 10085,Tallahassee,Fl,32302,"Post Office Box 10085, Tallahassee, Fl 32302",Political Comm,Check,,,30.442124,-84.320881,
101,101,Friends of Matt Caldwell,3/2/17,5000,Friends of Jason Brodeur PC,Rep. Jason Brodeur's PAC,"$5,000 from Florida Medical Association PAC on 2/28/17; $5,000 from Ron Book on 2/28/17; $5,000 from Vitas Hospice Services LLC on 2/28/17",PAC website: http://bit.ly/2xcobkz,120 South Monroe Street,Tallahassee,Fl,32301,"120 South Monroe Street, Tallahassee, Fl 32301",Political Comm,Check,,,30.4409781,-84.2810459,
160,160,Friends of Matt Caldwell,8/1/17,2000,Floridians for Home Rule PAC,"PAC Chaired by William James Peebles, a lawyer in Tallahassee",,Florida division of elections: http://bit.ly/2xc5rBL; Company website: http://bit.ly/2xcI5vS,Post Office Box 10930,Tallahassee,FL,32302,"Post Office Box 10930, Tallahassee, FL 32302",Political Comm,Check,,,30.442124,-84.320881,
133,133,Friends of Matt Caldwell,3/6/17,2500,Floridians for Home Rule PAC,"PAC Chaired by William James Peebles, a lawyer in Tallahassee",,Florida division of elections: http://bit.ly/2xc5rBL; Company website: http://bit.ly/2xcI5vS,Post Office Box 10930,Tallahassee,FL,32302,"Post Office Box 10930, Tallahassee, FL 32302",Political Comm,Check,,,30.442124,-84.320881,
132,132,Friends of Matt Caldwell,3/6/17,25000,Floridians United for our Children's,Chaired by Ryan Tyson of Associated Industries,,Florida division of elections: http://bit.ly/2xcvY1Y,Post Office Box 10085,Tallahassee,FL,32302,"Post Office Box 10085, Tallahassee, FL 32302",Political Comm,Check,,,30.442124,-84.320881,
138,138,Friends of Matt Caldwell,3/6/17,5000,Floridians United for our Children's,Chaired by Ryan Tyson of Associated Industries,,Florida division of elections: http://bit.ly/2xcvY1Y,Post Office Box 10085,Tallahassee,FL,32302,"Post Office Box 10085, Tallahassee, FL 32302",Political Comm,Check,,,30.442124,-84.320881,
118,118,Friends of Matt Caldwell,3/6/17,1000,Foley & LardnerÂ LLP Political Com,"Tallahassee law firm specializing in campaign finance, elections law and lobbying",,Company website: http://bit.ly/2xc0zMR,"106 E. College Ave, Ste 900",Tallahassee,FL,32301,"106 E. College Ave, Ste 900, Tallahassee, FL 32301",Political Comm,Check,,,30.4410187,-84.2813943,
80,80,Friends of Matt Caldwell,2/28/17,150000,Friends of Jason Brodeur PC,Rep. Jason Brodeur's PAC,"Received $150,000 from Florida Committee for Conservative Leadership on 02/08/17. ",Florida Division of Elections: http://bit.ly/2xcsOLk,120 South Monroe Street,Tallahassee,FL,32301,"120 South Monroe Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4409781,-84.2810459,
64,64,Friends of Matt Caldwell,2/21/17,15000,Friends of Jason Brodeur PC,Rep. Jason Brodeur's PAC,"Received $23,500 from The Committee for Justice, Transportation and Business PAC. PAC is chaired by David E. Ramba of the Ramba Consulting Group in Tallahassee.",PAC website: http://bit.ly/2xcobkz; Florida division of elections: http://bit.ly/2xcURKH,120 South Monroe Street,Tallahassee,FL,32301,"120 South Monroe Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4409781,-84.2810459,
47,47,Friends of Matt Caldwell,2/16/17,10000,FRF POLITICAL ACTION COMMITTEE,Florida Retail Federation trade org PAC,,Org website: http://bit.ly/2xcfM0D,227 South Adams Street,Tallahassee,Fl,32302,"227 South Adams Street, Tallahassee, Fl 32302",Political Comm,Check,,,30.440103,-84.281377,
107,107,Friends of Matt Caldwell,3/2/17,1000,Panhandle Prosperity Fund,Rep. Jay Trumbull's PAC,"Received $2,500 from AIF PAC on 2/20/17",PAC website: http://bit.ly/2xcuyVe,115 East Park Ave Ste 1,Tallahassee,FL,32301,"115 East Park Ave Ste 1, Tallahassee, FL 32301",Political Comm,Check,,,30.4416,-84.281278,
115,115,Friends of Matt Caldwell,3/6/17,2000,Jobs and Prosperity for Florida,Rep. Jeanette Nunez PAC,"$5,000 from US Sugar on 2/24/17; $10,000 from Norman Braman on 3/6/17; $5,000 from Fontainbleau Resort on 3/6/17",,2600 South Douglas Rd Ste 900,Coral Gables,FL,3313,"2600 South Douglas Rd Ste 900, Coral Gables, FL 03313",Political Comm,Check,,,25.7476969,-80.2547889,
122,122,Friends of Matt Caldwell,3/6/17,5000,Buikding on Your Dreams,Rep. Jim Boyd's PAC,"$4,000 from Brookdale Senior Living Inc on 03/06/17; $2,500 from Florida Manufactured Housing Association Inc PAC on 03/06/17; $2,500 from Frontier Telecommunications on 03/06/17; $500 from Coronel Group LLC Solar Power Company on 03/06/17; $500 from NAIOP of Florida Political committee on 03/06/17; $1,000 from Cypress Creek Renewables LLC on 03/06/17; $3,500 from Anheuser Busch on 03/06/17; $5,000 from Megellan Health on 03/06/17",PAC website: http://bit.ly/2xc5Owf,133 Harbor Drive,Venice,FL,34285,"133 Harbor Drive, Venice, FL 34285",Political Comm,Check,,,27.0991472,-82.4496895,
74,74,Friends of Matt Caldwell,2/23/17,5000,Rebuild Florida,Rep. Jose Felix Diaz's PAC,"Received $5,000 from Oportun Inc (finance company) on 2/23/17; $5,000 from Swisher International Inc (retail company) on 2/23/17; $5,000 from Jacksonville Kennel Club on 2/23/17",PAC website: http://bit.ly/2xc1xcf,8567 Coral Way Unit 374,Miami,FL,33155,"8567 Coral Way Unit 374, Miami, FL 33155",Political Comm,Check,,,25.7480295,-80.333561,
85,85,Friends of Matt Caldwell,2/28/17,1000,"Global Contracting Group, LLC",,,,Post Office Bo x1319,Wildwood,FL,34785,"Post Office Box 1319, Wildwood, FL 34785",General Contr,Check,,,28.860085,-82.0405,
89,89,Friends of Matt Caldwell,2/28/17,1000,"Global Contracting Group, LLC",,,,Post Office Box 1319,Wildwood,FL,34785,"Post Office Box 1319, Wildwood, FL 34785",General Contr,Check,,,28.860085,-82.0405001,
128,128,Friends of Matt Caldwell,3/6/17,5000,"GOLD AND ASSOCIATES, PA",,,,2298 South Dixie Highway,Miami,FL,33133,"2298 South Dixie Highway, Miami, FL 33133",Law Firm,Check,,,25.741904,-80.2316129,
25,25,Friends of Matt Caldwell,1/18/17,2500,"GOVERNMENT SERVICES GROUP, INC.",,,,"1500 Mahan Drive, Ste 250",Tallahassee,Fl,32308,"1500 Mahan Drive, Ste 250, Tallahassee, Fl 32308",Governmental,Check,,,30.4497963,-84.2583609,
121,121,Friends of Matt Caldwell,3/6/17,750,Gulf Coast PAC,,,,6767 Perkins Road Ste 200,Baton Rouge,LA,708,"6767 Perkins Road Ste 200, Baton Rouge, LA 00708",Political Actio,Check,,,30.401596,-91.11879,
43,43,Friends of Matt Caldwell,2/8/17,1000,Gunster Law Firm,,,,777 South Flagler Drive Ste 500 East,West Palm Beach,FL,,"777 South Flagler Drive Ste 500 East, West Palm Beach, FL ",Law Firm,Check,,,26.7066029,-80.0497202,
76,76,Friends of Matt Caldwell,2/24/17,15000,"Hilliard Brothers of Florida, LLLP",,,,5500 Flaghole Road,Clewiston,FL,33440,"5500 Flaghole Road, Clewiston, FL 33440",Agriculture,Check,,,26.7052409,-81.0603692,
66,66,Friends of Matt Caldwell,2/23/17,5000,IMPACT,,,,Post Office Box 12001,Tallahassee,FL,32317,"Post Office Box 12001, Tallahassee, FL 32317",Political Comm,Check,,,30.5315003,-84.3640422,
27,27,Friends of Matt Caldwell,1/23/17,7500,J. Kenneth Tate,,,,4500 N. Hills Drive,Hollywood,FL,33021,"4500 N. Hills Drive, Hollywood, FL 33021",Apparel,Check,,,26.0442529,-80.1898047,
26,26,Friends of Matt Caldwell,1/23/17,7500,James D. Tate,,,,1175 NE 125th Street Ste 102,North Miami,FL,33161,"1175 NE 125th Street Ste 102, North Miami, FL 33161",Apparel,Check,,,25.8909684,-80.1752162,
96,96,Friends of Matt Caldwell,2/28/17,1000,James E. Brown,,,,Post Office Box 1319,Wildwood,FL,34785,"Post Office Box 1319, Wildwood, FL 34785",General Contr,Check,,,28.860085,-82.0405001,
142,142,Friends of Matt Caldwell,3/6/17,2500,JAXPAC,,,,31 West Adams Street Ste 204,Jacksonville,FL,32202,"31 West Adams Street Ste 204, Jacksonville, FL 32202",Political Comm,Check,,,30.3281576,-81.6582887,
136,136,Friends of Matt Caldwell,3/6/17,500,"Jefferson Monroe Consulting, LLC",,,,2031 Misty Hollow Road,Tallahassee,Fl,32312,"2031 Misty Hollow Road, Tallahassee, Fl 32312",Governmental,Check,,,30.5369534,-84.2489971,
56,56,Friends of Matt Caldwell,2/16/17,125,Jeffrey H. Hendry,,,,3540 Clifden Drvie,Tallahassee,FL,32309,"3540 Clifden Drvie, Tallahassee, FL 32309",Economic De,Check,,,30.5329796,-84.1845504,
53,53,Friends of Matt Caldwell,2/16/17,500,Jerald S. Paul,,,,9400 Myakka Drive,Venice,FL,34293,"9400 Myakka Drive, Venice, FL 34293",Attorney,Check,,,27.0174872,-82.2728299,
97,97,Friends of Matt Caldwell,3/2/17,10000,Conservative Principles for Florida,Rep. Jose Oliva PAC,"$25,000 from Florida Power and Light Company on 3/2/17",,2600 South Douglas Rd Ste 900,Coral Gables,FL,3313,"2600 South Douglas Rd Ste 900, Coral Gables, FL 03313",Political Comm,Check,,,25.7476969,-80.2547889,
81,81,Friends of Matt Caldwell,2/28/17,500,Joe B. Cox Revocable Trust,,,,1185 Immokalee Road #110,Naples,FL,34110,"1185 Immokalee Road #110, Naples, FL 34110",Trust,Check,,,26.2728283,-81.7963585,
109,109,Friends of Matt Caldwell,3/6/17,2500,Better Florida Education,Rep. Manny Diaz JR PAC,"$5,000 from US Sugar on 2/24/17; $10,000 from Norman Braman on 3/6/17; $5,000 from Fontainbleau Resort on 3/6/17",,2600 South Douglas Rd Ste 900,Coral Gables,FL,3313,"2600 South Douglas Rd Ste 900, Coral Gables, FL 03313",Political Comm,Check,,,25.7476969,-80.2547889,
65,65,Friends of Matt Caldwell,2/23/17,10000,First Coast Conservatives,Rep. Travis Cummings PAC,"Received $10,000 from Knox Servicing LLC., an agricultural company, on 2/22/17.",,"115 East Park Avenue, Suite 1",Tallahassee,FL,32301,"115 East Park Avenue, Suite 1, Tallahassee, FL 32301",Political Comm,Check,,,30.4416,-84.281278,
42,42,Friends of Matt Caldwell,2/8/17,2500,LYKES BROS. INC.,,,,400 North Tampa Street Ste 1900,Tampa,FL,33602,"400 North Tampa Street Ste 1900, Tampa, FL 33602",Agriculture,Check,,,27.9477291,-82.4593309,
95,95,Friends of Matt Caldwell,2/28/17,600,Mark R. Stephens,,,,1312 Stratton Drive,Lakeland,FL,33813,"1312 Stratton Drive, Lakeland, FL 33813",Attorney,Check,,,27.9779957,-81.9376271,
